X,Y,Z
248,51,6
148,92,4
232,141,4
252,162,4
196,183,4
340,195,5
220,196,3
272,220,4
270,226,5
337,234,3
316,260,5
346,261,3
365,75,5
372,80,8
251,86,4
348,94,4
416,98,5
225,115,5
227,128,5
352,148,5
344,149,7
202,158,6
334,165,5
237,160,6
405,167,5
312,204,5
270,216,5
297,217,6
261,259,5
299,280,4
282,281,8
215,287,3
297,299,7
212,342,4
263,69,5
430,72,6
302,78,9
346,101,7
392,152,5
249,158,5
319,165,6
240,170,6
348,197,7
247,216,4
257,262,6
153,268,5
258,270,5
280,269,7
271,296,8
402,83,8
305,178,6
201,189,7
185,216,7
275,218,6
304,268,6
253,271,6
330,293,8
258,312,6
250,68,8
321,71,8
297,88,7
178,91,8
304,89,7
331,92,9
440,110,10
251,131,9
409,140,8
286,152,10
325,166,8
287,186,8
286,219,7
276,242,9
330,247,7
283,274,8
311,324,7
274,68,10
307,90,9
253,98,9
402,126,8
338,140,8
244,141,10
195,145,9
321,162,16
224,173,10
213,183,9
202,186,8
287,203,11
210,216,9
334,239,9
208,276,8
261,279,8
272,322,9
317,332,8
307,66,9
314,70,10
349,81,12
216,85,10
266,94,9
472,96,9
433,103,10
234,119,10
346,122,9
262,121,13
363,130,11
225,140,12
317,142,12
392,159,9
391,177,10
373,186,10
245,202,9
261,203,12
240,233,10
360,242,9
301,253,9
344,257,11
354,276,10
232,283,10
236,330,10
234,63,10
232,125,11
354,126,13
196,160,11
261,172,11
272,172,11
151,182,10
269,194,11
244,204,15
262,228,13
356,234,10
256,239,12
294,321,12
349,40,12
261,70,11
192,73,12
328,74,12
419,73,13
219,76,14
241,95,12
324,97,12
293,133,12
425,138,12
224,168,11
376,199,13
310,201,12
186,205,10
324,210,14
240,220,13
353,224,13
230,239,13
293,240,12
232,243,11
216,263,11
233,274,12
211,284,12
285,290,13
293,361,11
246,33,12
209,54,13
303,56,12
384,82,12
222,96,13
362,113,12
281,138,14
271,154,14
226,162,17
202,167,13
180,174,13
218,179,13
234,183,15
362,187,12
328,188,16
214,191,12
248,199,11
305,203,12
193,233,12
311,234,14
273,235,14
241,256,13
342,285,12
341,298,12
244,56,13
276,66,13
383,78,14
426,82,13
297,100,13
354,102,15
425,104,15
405,111,15
205,115,14
176,123,14
346,124,18
422,129,14
387,137,14
341,135,15
162,142,15
312,150,14
349,172,17
276,179,18
334,180,16
192,192,14
295,198,15
187,232,13
194,259,15
220,270,14
281,297,17
317,298,15
264,301,14
329,307,13
247,319,15
424,30,14
265,58,14
293,71,17
248,83,19
315,98,14
463,115,14
209,125,15
233,196,18
206,202,13
198,207,14
367,214,15
295,220,15
327,229,16
217,233,16
202,244,15
268,244,15
358,248,15
350,257,15
333,294,16
297,53,15
269,60,15
449,76,15
348,83,16
393,83,17
372,90,15
337,97,18
173,104,15
276,97,18
331,105,18
373,113,15
460,124,17
350,147,22
211,146,16
316,185,17
448,191,16
214,202,17
216,214,20
359,216,16
343,223,18
233,251,18
307,281,18
221,294,15
218,62,16
198,63,16
263,70,16
323,79,20
438,87,17
202,92,17
342,91,17
316,114,21
361,118,16
164,122,16
329,117,22
318,132,19
388,144,15
395,167,17
281,187,17
275,195,19
365,192,20
273,220,17
327,223,18
308,224,17
361,247,16
312,259,18
205,260,17
262,264,21
312,292,18
336,330,17
367,76,16
313,84,17
330,88,17
259,93,21
296,115,18
305,116,20
344,120,18
411,126,17
281,129,17
485,135,17
262,141,19
180,145,19
216,155,19
328,171,19
342,206,18
222,223,18
289,229,18
286,270,18
485,295,17
341,317,18
429,85,19
348,92,18
289,103,22
323,124,20
462,132,20
293,139,20
237,148,19
406,153,19
293,158,22
380,155,19
246,160,20
200,173,19
200,178,19
433,181,19
295,185,22
335,187,22
350,213,19
422,228,18
426,227,18
199,229,20
195,244,18
305,270,20
375,307,18
229,323,18
212,59,19
241,63,19
238,76,21
228,80,20
355,85,20
254,99,19
197,101,21
383,105,27
240,107,21
430,112,21
243,133,22
448,147,20
211,157,27
313,171,21
165,173,21
386,179,19
389,202,19
215,242,22
263,242,29
282,283,19
269,294,20
275,316,22
257,323,20
239,332,20
217,51,20
171,64,20
377,72,22
320,95,28
229,112,22
303,120,35
194,129,22
336,135,30
474,132,21
405,132,21
263,156,26
242,173,21
249,187,21
374,200,21
247,211,23
247,227,22
330,264,20
213,289,22
319,307,21
289,320,22
318,332,21
301,79,21
351,83,22
408,81,22
197,81,23
404,84,21
367,85,23
296,87,21
369,92,23
175,90,21
418,95,21
293,92,23
256,103,31
270,130,22
168,133,22
217,133,31
327,150,23
179,154,22
196,182,22
193,183,21
274,206,22
298,205,24
390,215,21
191,221,22
229,221,27
231,231,23
171,230,22
178,232,22
167,234,21
307,247,22
344,255,23
354,280,23
311,304,22
336,325,21
388,68,22
217,84,24
379,89,23
432,101,25
399,96,24
446,107,25
363,109,24
192,112,25
258,128,27
429,133,23
384,143,22
460,146,23
196,210,25
256,221,26
207,255,25
186,266,22
216,267,23
253,287,23
288,289,23
290,294,22
229,350,25
274,350,22
255,380,22
203,50,25
196,65,23
249,77,24
170,80,24
267,86,30
433,93,24
341,112,26
443,121,24
421,121,28
434,124,24
376,132,24
210,140,29
371,146,23
165,145,24
445,149,27
189,147,26
280,174,23
247,178,27
210,177,23
399,182,24
202,189,24
323,191,25
214,195,23
263,230,29
281,250,30
297,255,25
250,272,22
294,278,25
267,281,23
291,301,25
259,305,24
220,304,23
256,316,26
242,317,23
290,344,25
191,49,24
175,54,26
393,69,25
235,82,24
269,97,24
208,95,25
395,106,27
305,107,25
414,117,24
180,126,24
255,135,38
353,131,29
190,136,24
410,141,25
279,150,25
480,153,26
401,165,23
414,163,27
356,185,32
159,185,24
338,194,27
284,199,26
345,203,31
322,227,25
319,239,25
353,243,26
235,243,27
382,260,26
218,270,31
279,270,27
332,269,28
203,270,27
216,275,24
332,280,30
271,283,24
304,308,27
476,311,26
225,55,26
218,99,30
403,111,28
394,113,28
291,114,27
450,120,25
159,119,26
449,128,26
250,142,27
161,148,24
400,149,25
190,158,27
168,191,25
403,199,25
411,217,26
347,218,26
299,220,26
307,272,28
234,329,25
328,347,24
215,23,26
228,49,28
248,60,26
191,69,28
326,85,27
172,83,27
241,99,26
373,99,28
298,102,27
163,108,27
185,121,26
223,144,26
240,140,30
247,162,29
189,176,29
433,175,26
313,175,28
175,190,28
198,199,39
218,208,27
311,212,26
361,225,29
307,243,29
318,258,27
236,265,28
392,273,27
317,287,29
200,291,26
344,295,28
326,308,26
349,313,26
261,348,26
261,352,26
247,360,27
271,361,27
214,73,28
395,83,28
201,92,29
231,95,30
289,97,28
274,100,29
326,105,28
278,115,30
238,124,33
288,159,39
455,139,29
330,144,28
314,139,34
383,168,37
234,177,27
337,176,30
239,190,27
244,192,28
180,202,32
226,206,26
165,211,28
260,210,30
362,212,37
385,214,28
382,218,27
186,223,29
208,221,30
202,235,27
184,237,30
