X,Y,Z
255,255,34
332,207,1
237,224,1
301,271,1
352,277,1
370,277,1
298,290,1
285,295,1
273,313,1
345,341,1
361,351,1
238,234,2
295,253,2
352,277,2
368,277,2
273,313,2
361,351,2
225,356,2
396,368,2
211,100,6
351,278,3
368,278,3
363,303,3
273,313,3
320,335,3
291,191,4
207,208,4
336,223,4
315,233,4
236,236,4
237,235,4
348,235,6
213,239,4
295,254,5
295,253,4
359,255,4
296,262,5
351,277,4
368,278,4
351,278,5
369,280,5
169,285,4
233,285,4
269,295,4
320,335,5
326,341,4
326,340,4
355,383,5
324,315,5
300,154,8
290,191,7
205,207,7
336,222,6
275,226,6
235,235,6
348,235,6
212,239,6
152,249,7
295,254,6
313,254,7
360,255,6
198,281,7
370,281,6
232,285,6
268,294,6
323,315,6
326,341,6
306,217,8
274,226,8
313,233,7
348,235,7
212,239,7
230,243,7
152,250,7
295,254,7
313,254,7
305,264,7
305,264,7
312,268,7
198,281,7
232,285,7
314,290,7
320,291,7
342,294,8
268,294,7
223,297,8
223,297,7
323,303,7
237,312,8
238,312,7
321,316,8
322,315,7
376,317,7
357,318,7
356,319,8
338,325,8
300,325,7
358,328,7
326,341,7
326,341,7
314,350,8
353,365,8
353,384,7
354,384,7
347,236,9
231,244,8
314,256,8
308,267,9
321,279,8
317,292,8
324,305,8
377,318,8
293,318,9
358,328,8
274,329,8
368,342,9
351,348,9
381,351,8
301,376,9
353,386,9
271,238,10
250,243,9
285,292,9
308,309,9
289,191,10
255,197,11
288,226,11
230,243,10
200,254,10
315,256,10
305,264,10
345,265,10
321,279,10
263,283,10
330,287,10
285,291,10
316,291,10
171,292,10
324,305,10
307,309,10
321,316,10
376,318,10
355,321,10
338,326,10
273,329,10
351,348,10
371,349,10
380,351,10
301,375,10
359,378,10
249,114,12
289,191,11
255,197,11
252,228,11
256,249,12
257,249,11
330,252,11
331,252,11
199,255,11
199,255,11
316,256,11
316,258,11
202,266,11
201,265,11
345,265,11
345,266,11
240,270,11
240,270,11
290,277,11
262,274,11
290,276,11
232,277,11
320,280,12
321,280,11
373,278,12
262,283,11
329,287,11
319,297,12
269,290,11
285,292,12
171,293,11
395,296,11
298,300,12
219,301,11
218,301,11
354,302,11
323,306,11
323,306,11
307,310,11
307,310,11
347,318,11
353,320,11
377,320,11
377,320,11
183,318,11
358,320,11
336,325,11
335,325,11
272,329,11
273,329,11
371,348,11
349,350,11
351,349,11
379,351,11
379,352,11
359,379,11
359,380,11
343,402,11
297,410,11
340,412,11
233,87,14
247,93,13
254,197,12
246,217,12
281,233,12
305,236,12
255,249,12
179,250,12
180,250,13
330,252,12
239,253,12
202,267,12
240,270,12
262,274,12
290,277,12
232,278,12
269,290,12
312,291,12
332,295,12
395,297,12
219,301,12
323,306,12
394,307,12
306,311,12
183,318,12
346,318,12
359,319,12
378,322,12
365,323,12
269,327,12
304,333,12
305,334,12
183,337,12
379,352,12
264,359,12
356,383,12
342,403,12
297,411,13
340,411,12
254,197,13
316,207,13
163,210,13
246,220,13
280,232,14
357,233,14
287,240,13
344,244,13
306,246,13
306,246,13
330,253,14
253,252,14
239,254,14
202,267,13
240,271,13
262,274,13
289,277,13
233,278,13
269,292,14
331,296,13
396,297,13
219,301,13
297,301,13
354,302,13
394,308,14
307,311,13
342,309,13
405,312,13
183,319,13
346,318,13
362,320,13
266,326,13
200,324,13
379,324,13
304,333,13
183,336,13
354,356,13
264,359,13
383,373,13
383,372,13
358,384,13
396,382,13
343,403,13
340,412,13
254,200,15
315,207,14
162,210,14
245,220,14
356,233,14
286,241,15
344,245,15
305,246,15
201,268,14
262,274,14
364,274,15
289,278,14
233,278,14
183,278,14
328,297,14
297,301,14
218,301,14
354,302,14
342,309,14
306,311,14
405,313,14
182,319,14
346,318,14
360,317,14
388,321,14
170,322,14
264,326,16
365,325,15
379,325,15
266,326,14
273,333,14
304,333,14
182,336,14
341,346,14
327,352,14
354,357,15
265,359,14
344,366,14
381,374,14
396,381,15
354,386,15
354,386,15
324,398,14
342,403,15
340,413,14
239,150,15
286,187,15
315,207,15
163,210,15
330,254,15
239,255,15
382,253,15
293,253,15
201,269,15
183,279,15
328,298,15
266,304,15
342,309,15
307,311,15
182,319,15
346,318,15
224,319,15
388,321,15
170,322,15
256,329,16
273,333,16
200,334,16
304,333,16
183,335,16
384,343,16
185,344,15
341,347,15
327,351,15
182,356,16
265,359,15
344,367,15
313,406,15
340,414,16
246,94,16
315,208,17
164,211,17
267,220,17
280,234,17
356,235,17
231,238,17
285,242,16
305,247,17
344,247,16
292,254,16
329,255,17
298,260,16
239,256,17
218,264,16
364,275,16
317,278,16
289,278,16
234,279,16
183,280,17
272,282,16
208,284,17
329,299,17
267,306,16
342,310,17
225,320,16
182,321,17
387,322,17
185,345,16
326,352,16
354,358,17
265,360,17
346,370,16
394,375,16
349,387,17
358,400,16
221,60,19
226,75,17
220,89,17
326,196,17
312,254,17
373,287,17
189,306,17
162,310,17
312,345,17
194,361,17
194,367,17
240,141,18
324,195,18
356,235,18
182,234,19
232,237,18
335,237,19
305,246,18
291,255,18
311,254,18
329,254,18
239,255,18
222,258,18
221,261,19
363,276,18
317,278,18
272,282,18
208,285,18
364,287,18
330,299,18
386,297,18
273,303,18
266,305,18
189,305,18
341,310,18
162,310,18
182,321,18
225,319,18
265,326,18
273,334,18
369,337,18
384,343,18
185,345,18
326,351,18
354,358,18
194,362,18
335,365,18
346,369,18
358,400,18
209,101,19
152,114,19
330,173,19
259,180,19
290,181,19
217,206,19
262,218,19
184,221,19
297,230,19
192,229,19
297,229,19
256,233,19
229,243,19
276,244,19
291,255,19
310,253,19
292,255,19
137,256,19
221,259,19
198,262,19
364,265,19
299,268,19
212,268,19
332,272,19
362,276,19
363,276,19
316,278,19
182,277,19
302,279,19
317,278,19
338,282,19
272,284,19
272,283,19
209,285,19
209,286,19
364,287,19
